title,artist,album,track,duration,id,idtype,playcount,rating,year,genre,notes,playlist
spotify:track:3FhuPkzBM6VMLvc6rcer8v,Pongámonos De Acuerdo,Julión Álvarez y su Norteño Banda,El Aferrado,1,2,161906,spotify:user:nejuveny-5739,2016-08-15T23:45:07Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:24Yw6Hoi0sPaJKb16uQZGI,El Que Se Enamora Pierde,Banda Carnaval,La Historia De Mis Manos,1,5,140453,spotify:user:nejuveny-5739,2016-08-16T00:06:17Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:49ItgqFP5shdUdK9ggonW0,Aunque Ahora Estés Con Él,Calibre 50,Aunque Ahora Estés Con Él,1,1,214293,spotify:user:nejuveny-5739,2016-08-16T01:39:57Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:4zwQ07kD03LHSGzmXzfvhY,Pistearé,Banda Los Recoditos,Pistearé,1,1,142920,spotify:user:nejuveny-5739,2016-08-16T03:19:56Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:6HUMffUSppjuuO8v193wWM,En Qué Cabeza Cabe,Banda Carnaval,Hombre De Trabajo,1,7,173600,spotify:user:nejuveny-5739,2016-08-20T00:05:52Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:7Gz8o9q5num8eol7XAmdtg,Consulado M1 (feat. Gerardo Ortiz),"Grupo Escolta, Gerardo Ortiz",Revolucion Sinaloense,1,13,135493,spotify:user:hugochaveze,2016-10-07T20:35:51Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:70XsDQ9HSLAuG1xf2oaDct,El Americano,Jorge Santacruz Y Su Grupo Quinto Elemento,De Los Pinos A Los Pinos,1,5,189066,spotify:user:hugochaveze,2016-10-08T17:02:31Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:6OXKgW0WK30XIeW82zq3JD,Caricias Clandestinas,Remmy Valenzuela,Mi Princesa,1,2,240426,spotify:user:hugochaveze,2016-10-08T17:14:36Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:5JnrCMAVY9tIuglIZba758,Me Pegó la Gana,Traviezoz de la Zierra,Plan B,1,22,168533,spotify:user:hugochaveze,2016-10-08T17:29:49Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:0CcFhIRRW468bAlAwD9FFs,El Enamorado,Los Titanes De Durango,Los Locos Del Corrido,1,3,154586,spotify:user:hugochaveze,2016-10-08T17:57:16Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:4hHrTfh4yyDpfiz9ulEHZv,Me Va A Pesar,La Arrolladora Banda El Limón De Rene Camacho,Me Va A Pesar,1,1,178653,spotify:user:hugochaveze,2016-10-08T17:59:26Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:4Badz1aBILwhCQ2dF6YVEI,Libre Otra Vez,La Arrolladora Banda El Limón De Rene Camacho,Libre Otra Vez,1,3,190373,spotify:user:hugochaveze,2016-10-12T19:18:46Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:0WGISaQhurHfePH9mq8qIb,Lo Hiciste Otra Vez,La Arrolladora Banda El Limón De Rene Camacho,Las Bandas Románticas,1,11,217466,spotify:user:hugochaveze,2016-10-12T19:31:43Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:1YjjlSrystuJLYqLNMBIZm,El Cuestionario,Alfredo Olivas,Asi Es Esto,1,3,221000,spotify:user:hugochaveze,2016-10-18T20:21:31Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:4YQlSnl8nPkPLj2kQDIZ9f,Asi Es Esto,Alfredo Olivas,Asi Es Esto,1,1,221000,spotify:user:hugochaveze,2016-10-18T20:21:39Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:5pNRWjHiy0vOfupitU7pGU,Teresa la Mexicana,Jorge Santacruz Y Su Grupo Quinto Elemento,De Los Pinos a Los Pinos,1,1,249373,spotify:user:hugochaveze,2017-01-07T03:57:30Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:0bms7euCGHl4vk5K3vcITb,Operativo Pariente,Jorge Santacruz Y Su Grupo Quinto Elemento,De Los Pinos a Los Pinos,1,2,184786,spotify:user:hugochaveze,2017-01-07T03:57:30Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:7qchMbSlinneo3PPqpXIZw,Y Si Pones Atención,Jorge Santacruz Y Su Grupo Quinto Elemento,De Los Pinos a Los Pinos,1,3,236746,spotify:user:hugochaveze,2017-01-07T03:57:30Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:5obhl7qcOJc1sb7V1Djnpw,De los Pinos a los Pinos,"Jorge Santacruz Y Su Grupo Quinto Elemento Feat. Los Nuevos Rebeldes, Los Nuevos Rebeldes",De Los Pinos a Los Pinos,1,4,234120,spotify:user:hugochaveze,2017-01-07T03:57:30Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:6N9pIth1pLkWnJVMp3brFb,El Americano,Jorge Santacruz Y Su Grupo Quinto Elemento,De Los Pinos a Los Pinos,1,5,189066,spotify:user:hugochaveze,2017-01-07T03:57:30Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:4hfrcBTCwYkOYkdkWsDfND,El Tosco,Jorge Santacruz Y Su Grupo Quinto Elemento,De Los Pinos a Los Pinos,1,6,229120,spotify:user:hugochaveze,2017-01-07T03:57:30Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:3h7O1SVT4DFURoi3FPlxK9,El Desempate,"Jorge Santacruz Y Su Grupo Quinto Elemento Feat. Régulo Caro Y Escolta De Guerra, Escolta De Guerra, Regulo Caro",De Los Pinos a Los Pinos,1,7,198293,spotify:user:hugochaveze,2017-01-07T03:57:30Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:1i5W73a8hmx4l1U03Gu9X7,Diablo Moderno,Jorge Santacruz Y Su Grupo Quinto Elemento,De Los Pinos a Los Pinos,1,8,214893,spotify:user:hugochaveze,2017-01-07T03:57:30Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:2YpGexnpxKhfjD4GGols75,La Saga Guzmán,Jorge Santacruz Y Su Grupo Quinto Elemento,De Los Pinos a Los Pinos,1,9,184720,spotify:user:hugochaveze,2017-01-07T03:57:30Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:7eFGj7ItzP2dPH7PwV8lGh,Hombres Expertos,Jorge Santacruz Y Su Grupo Quinto Elemento,De Los Pinos a Los Pinos,1,10,194240,spotify:user:hugochaveze,2017-01-07T03:57:30Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:0uEDODWmJzMpyARYBpBPpa,El Jr Del Señor,La Edición de Culiacán,Levanto El Vuelo,1,8,199331,spotify:user:hugochaveze,2017-03-10T01:58:29Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:5jEk9xozawNIRrChjPUvrC,Se Va Muriendo Mi Alma,Remmy Valenzuela,Mi Vida En Vida,1,20,317373,spotify:user:ares_one,2017-07-10T05:13:08Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:5nmGF8XfCRXzAep5KVfik9,De Parranda,Gerardo Ortiz,El Primer Ministro (Deluxe Edition),1,4,165946,spotify:user:ares_one,2017-07-10T05:26:09Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:6mdO5yKXfg93yFtbzrvDSw,Corona de Rosas,"Kevin Ortiz, Ulices Chaidez",Corona de Rosas,1,1,159232,spotify:user:ares_one,2017-07-21T18:45:48Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:3ivuOTvdtlX6mphObxQ28p,Loco y Cursi,"Los Valedores de la Sierra, Pura Potencia",Borrarte de un Jalón,1,9,172165,spotify:user:ares_one,2017-07-26T04:21:27Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:0HhtLyMxtbpaZon5A8OQU6,Adiós Amor,Christian Nodal,Me Dejé Llevar,1,1,199320,spotify:user:ares_one,2017-08-31T18:53:32Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:3w2G5Gw8OrgIS3GVC84JqF,El Paciente,Alfredo Olivas,La Rueda de la Fortuna,1,10,211320,spotify:user:ares_one,2017-08-31T18:53:33Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:78Lv54mlazogTRDzzFXk03,Nadie,Remmy Valenzuela,Mi Vida En Vida,1,9,221933,spotify:user:ares_one,2017-08-31T18:53:42Z,undefined,undefined,undefined,Fri Sep 15 2017
